/* Main Interface */
Presentation	介紹
/* Dataset Browse and Search */
Done	結束
No Search Results	無搜索結果
^Dataset Add	 當資料集搜索結果為零時，無法將搜尋結果加入播放器中
Entry Error	輸入錯誤
^Date Format	年份輸入時只能使用####格式，本搜索將包括包括當年所有資料集
MAJOR CATEGORIES	主要類別
SUB CATEGORIES	子類別
LIVE PROGRAMS	直播節目
CLEAR	清除
search	搜索
MOVIES	電影
REALTIME	即時
Title	抬頭
Keywords	關鍵字
Description	描寫
Creator	建立者
^Audio Movies	有聲電影
^No Audio Movies	無聲電影 
^Audio Descriptions	有聲有字幕電影
^Non-English	非英語
^Localized Datasets	數據集翻譯
^Hires Datasets	僅允許高分辨率資料
A-Z	A-Z
Date	日期
DATASETS	資料集
LIVE PROGRAMS	直播節目
YEAR	年度
THEMES	主題
themes	主題
FILTERS	篩檢程式
filters	篩檢程式
library	圖庫
libraries	圖庫
Load	載入
Spotlight!	亮點!
* This dataset is temporary and not part of the SOS Data Catalog.	* 這是一個暫存資料目錄，不是SOS資料集的一部分。
Play | Pause	播放|暫停
JAN	一月
FEB	二月
MAR	三月
APR	四月
MAY	五月
JUN	六月
JUL	七月
AUG	八月
SEP	九月
OCT	十月
NOV	十一月
DEC	十二月

/* SOS Settings */
SOS Settings	SOS設置
Connection	聯繫
Host:	主機位置：
Auto Run	自動播放
SOS Data Catalog	SOS資料目錄
^Old Database	舊SOS資料目錄
^Update Database	更新資料庫？
^Catalog Update	SOS資料目錄更新
No	否
Yes	是
Alignment Password	校準密碼
Alignment	校準
^Alignment Password	輸入校準密碼
Submit	提交
WARNING	警告
^Alignment Warning	只有經過訓練的人員才能使用校準功能，使用不當將會導致SOS的外觀變形
^Alignment Proceed	你確定要繼續嗎？
Connected	聯繫
Not Connected	未連接
^Unconnected Error	SOS錯誤：未連接到SOS
^Connection Error	錯誤：無法連接到Wi-Fi或藍芽，請到您的設備的設定頁面，檢查Wi-Fi或藍芽連接
^Connection Error iPhone	沒有Wi-Fi /藍芽，請檢查連接
^Host Error	錯誤：無法連接到主機，請確認主機名稱是否正確，並確認您已連接至正確的Wi-Fi網路或藍芽配對
^Host Error iPhone	無法辨識主機名稱，請確認Wi-Fi /藍芽是否正常連接
^SOS Error	錯誤：能夠連接到Wi-Fi和主機，請確認主機名稱是否正確，以及Wi-Fi網路或藍芽配對是否正確
^SOS Error iPhone	無線網路連接/藍芽與主機=是，SOS =否
^Web Error	該應用程序無法從Internet連線SOS網頁。
^Catalog Missing	錯誤：資料目錄遺失！
^SOS Update	更新SOS：
^iPad Update	更新iPad：
^iPad Never	不更新iPad
^Catalog Current	當前資料目錄並不需要更新
^Run Update	是否更新？
^Catalog Update	SOS資料目錄更新
Loading	載入中
^Transfer Catalog	轉移SOS資料目錄
^Wait	請稍候...
^Catalog Initialize	資料目錄初始化
^Catalog Open	無法打開SOS資料目錄！
^Update Again	請再試一次更新
Status:	狀態：
Missing	遺失
Out-of-Date	過期
Up-to-Date	最新
^Missing SOS	無法連接SOS伺服器
^Missing Both	無法連接SOS伺服器及iPad
Alignment Password Failed	校準密碼失敗
Alignment Password Saved	校準密碼儲存
^Password Failed	校準的介面無法打開，輸入密碼錯誤
Auto Run Mode	自動播放模式
^Stop Autorun	自動SOS播放執行中，應用程式的其餘部分將無法使用，點擊停止按鈕結束自動播放模式
Stop	停止
Update Now	現在更新
Version Incompatibility	版本不相容
^Version Upgrade	要快速搜索和瀏覽SOS數據目錄中的數據，並使用應用程式的播放列表產生器建立新的播放列表，您必須將SOS伺服器升級到版本4.3.1或更高版本。\n\nSOS伺服器當前正在運作的版本
Feature Unavailable	功能不可用
^Upgrade Software	要使用此功能，您必須將SOS軟件升級到最新版本。

/* Alignment Controls */
^Ball Step	第1步：紅球
^Grid Step	第2步：網格
^Vertex Step	第3步：頂點扭捏
Factory Reset	恢復出廠設置
^Factory Reset	恢復出廠設置將完全復位投影機的定位，只有當投影機已經移動或對準真的關閉時才進行這個選項
^Reset Question	你想要做恢復出廠設置嗎？
Start	開始
Stop	停止
Complete	完成
Unable to Start	無法啟動
Unable to Stop	無法停止
Stopped	停止
Finished	完成
Timed Out	時間到
Ready	預備
Manual	手動
Select Projector	選擇投影機
Show Projector	顯示投影機
Translate	翻譯
Scale	量尺
On/Off	開關
Taller	高
Squatter	大
Wider	寬
Thinner	窄
Rotate	旋轉
^Auto Align	自動（實驗）
^Requires Hardware	*需要額外的硬體
Revert	複歸
Select Vertex	選擇頂點
On	開啟
Off	關閉
Reset Vertices	重置頂點
All	所有
^Vertices Confirm	您確定要重置頂點嗎？

/* Alignment Password */
Next	下一個
Set Password	設置密碼
Change Password	更改密碼
Turn Off Password	關閉密碼
Password Error	密碼錯誤
Set Password	設置密碼
Change Password	更改密碼
Password Failed	密碼失敗
Password Turned Off	密碼已關閉
Turn Password Off	關閉密碼關閉
Turn Password On	打開密碼打開
Change Password	更改密碼
^Set Password	輸入密碼
^Old Password	輸入舊密碼
^Password Off	輸入密碼
^Blank Password	您不能輸入密碼為空
^Reenter Password	請重新輸入您的密碼
^New Password	輸入新密碼
^Password Incorrect	輸入的密碼不正確
^Password Again	重新輸入新密碼
^Password Mismatch	該密碼不匹配
^Password Turned Off	對準密碼已被關閉

/* Alignment Help */
^Redball Title	紅球對齊
^Redball Info	紅球對準的目標是讓每個投影儀的紅色圖像覆蓋球形的表面，請讓球體上無任何青色部分
^Redball Manual	通常情況下，一次只能讓一台投影機平移，縮放和旋轉。請確保圖像定位均勻地在投影機前面的球。請注意看球體的兩側使紅色圖像集中在球體上。一旦集中請擴大它，直到它覆蓋了目前球體的象限
^Grid Title	網格對齊
^Grid Info	網格對齊的目標是讓每個投影機之格線看起來像一個無縫的球
^Grid Manual	通常情況下，一次只能選擇一台投影機，使用平移和縮放控制項調整網格，最好是切換相鄰的投影機使其從相鄰的投影機互相移動網格，並讓它們在中間相遇，而不是一次移動一個網格一路轉移到其它的格狀
^Vertex Title	頂點扭捏
^Vertex Info	頂點扭捏的目標是通過在網格調整使頂點對準
^Vertex Manual	通常情況下，一次只能選擇一台投影機標，畫面上有數字1到9的格點，選擇一個格點使用平移控制上，下，左，右圖拉近所選的號碼，所以如果需要向左移動，那麼你就需要在相應的頂部，中部和底部的格點伸展，有時會混淆格線，所以必須頻繁的切換相鄰的投影機進行調整。另外如果兩條線是分開是不應該的，移動每條線一半使其在中間相遇，而不是指移動一個線去覆蓋其他線
^Manual Title	手動模式
^Document Refer	請參閱SOS校準手冊的說明
^Auto Title	自動（實驗）模式
^Auto Info	這是一個需要連接到SOS計算機的4台攝像機的功能。 按開始開始。 對齊將需要10-15分鐘。 一旦對齊完成，請查看結果。 您可以使用手動控制進一步調整。
^Revert Info	請重新從您儲存校準上一次的設置
^Save Info	儲存所有您對投影機進行調整
^Done Info	返回到主校準頁
